symbol,name,exchange,quantity,prices,value
ALK.AX,Alkane Resources Ltd,ASX,11931,1.205000043,"14,377"
AHQ.AX,Allegiance Coal Ltd,ASX,16824,0.068999998,"1,161"
AMT.AX,Allegra Orthopaedics Ltd,ASX,16669,0.089000002,"1,484"
AQZ.AX,Alliance Aviation Services Ltd,ASX,15860,3.029999971,"48,056"
AGS.AX,Alliance Resources Ltd,ASX,16136,0.174999997,"2,824"
AGE.AX,Alligator Energy Ltd,ASX,15386,0.004,62
A4N.AX,Alpha HPA Ltd,ASX,18291,0.174999997,"3,201"
ALQ.AX,ALS Ltd,ASX,16901,6.559999943,"110,871"
AZI.AX,Alta Zinc Ltd,ASX,16716,0.004,67
ATC.AX,Altech Chemicals Ltd,ASX,17789,0.039999999,712
ATH.AX,Alterity Therapeutics Ltd,ASX,16372,0.017000001,278
AIQ.AX,Alternative Investment Trust,ASX,12756,0.055,702
1AG.AX,Alterra Ltd,ASX,14952,0.039000001,583
AGH.AX,Althea Group Holdings Ltd,ASX,15519,0.319999993,"4,966"
ALU.AX,Altium Ltd,ASX,12680,32.47999954,"411,846"
